Item	Qty	Unit	Designators
Connector, Ferrule, crimp, 2.0 mm², YE	1		
Connector, Ring#8, crimp, 1 pins	1		DUET
Cable, 1 x 0.34 mm²	0.5	m	BED_SSR3
